# gene name           KO     thrshld  score   E-value KO definition
#-------------------- ------ ------- ------ --------- ---------------------
* JOEDHDHP_00312      K21000  153.57  302.3   1.9e-90 polysaccharide biosynthesis protein PslG
* JOEDHDHP_00313      K03208  202.83  452.5  6.1e-136 putative colanic acid biosynthesis glycosyltransferase WcaI
* JOEDHDHP_00321      K02377  263.90  446.1  3.6e-134 GDP-L-fucose synthase [EC:1.1.1.271]
* JOEDHDHP_00322      K01711  270.90  613.8  1.6e-184 GDPmannose 4,6-dehydratase [EC:4.2.1.47]
* JOEDHDHP_00323      K01790  202.23  215.2   2.8e-64 dTDP-4-dehydrorhamnose 3,5-epimerase [EC:5.1.3.13]
* JOEDHDHP_00324      K00973  239.50  547.0  2.2e-164 glucose-1-phosphate thymidylyltransferase [EC:2.7.7.24]
* JOEDHDHP_00333      K16566  216.33  241.4   1.7e-72 exopolysaccharide production protein ExoY
* JOEDHDHP_00334      K00012  386.93  632.2  3.8e-190 UDPglucose 6-dehydrogenase [EC:1.1.1.22]
* JOEDHDHP_00336      K16566  216.33  239.8   5.4e-72 exopolysaccharide production protein ExoY
* JOEDHDHP_00339      K27307  146.97  151.0   1.2e-44 acetyltransferase [EC:2.3.1.-]
* JOEDHDHP_00343      K25588  376.57  507.9    8e-153 tyrosine-protein kinase [EC:2.7.10.3]
* JOEDHDHP_00344      K21003  166.23  263.3   9.9e-79 polysaccharide biosynthesis protein PslJ
* JOEDHDHP_00345      K21000  153.57  335.3  1.8e-100 polysaccharide biosynthesis protein PslG
* JOEDHDHP_00347      K01711  270.90  551.7    1e-165 GDPmannose 4,6-dehydratase [EC:4.2.1.47]
* JOEDHDHP_00348      K01711  270.90  360.8  5.6e-108 GDPmannose 4,6-dehydratase [EC:4.2.1.47]
* JOEDHDHP_00349      K03818  148.03  167.6     1e-49 putative colanic acid biosynthesis acetyltransferase WcaF [EC:2.3.1.-]
* JOEDHDHP_00350      K20999  163.00  193.6   1.3e-57 polysaccharide biosynthesis protein PslF
* JOEDHDHP_00353      K21000  153.57  318.8   1.8e-95 polysaccharide biosynthesis protein PslG
* JOEDHDHP_00367      K03453  227.07  386.7  7.1e-116 bile acid:Na+ symporter, BASS family
* JOEDHDHP_00371      K03333  334.23  424.1  3.4e-127 cholesterol oxidase [EC:1.1.3.6]
* JOEDHDHP_00374      K02067   76.33  164.3   1.6e-48 phospholipid/cholesterol/gamma-HCH transport system substrate-binding protein
* JOEDHDHP_00375      K05712  351.57  450.8  2.1e-135 3-(3-hydroxy-phenyl)propionate hydroxylase [EC:1.14.13.127]
* JOEDHDHP_00379      K05337   39.20   67.3   3.9e-19 ferredoxin
* JOEDHDHP_00380      K22553  364.13  449.8  2.1e-135 4-methoxybenzoate monooxygenase (O-demethylating) [EC:1.14.99.15]
* JOEDHDHP_00382      K00163  334.67  690.2  1.4e-207 pyruvate dehydrogenase E1 component [EC:1.2.4.1]
* JOEDHDHP_00385      K07124  228.83  307.5   4.6e-92 uncharacterized protein
* JOEDHDHP_00390      K05770   26.10   26.3   1.5e-06 translocator protein
* JOEDHDHP_00393      K08173  471.17  658.1  1.9e-198 MFS transporter, MHS family, metabolite:H+ symporter
* JOEDHDHP_00394      K01625  190.93  261.5   4.8e-78 2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase [EC:4.1.2.14 4.1.3.42]
* JOEDHDHP_00395      K00040  584.27  587.8  5.1e-177 fructuronate reductase [EC:1.1.1.57]
* JOEDHDHP_00397      K08323  396.73  624.3  2.2e-188 mannonate dehydratase [EC:4.2.1.8]
* JOEDHDHP_00399      K22293  177.73  191.9   3.8e-57 GntR family transcriptional regulator, rspAB operon transcriptional repressor
* JOEDHDHP_00403      K27689  372.53  512.9  1.2e-154 meromycolic acid (3R)-3-hydroxyacyl-[acyl-carrier protein] dehydratase HadAB [EC:4.2.1.-]
* JOEDHDHP_00409      K01494   84.70  290.2   4.1e-87 dCTP deaminase [EC:3.5.4.13]
* JOEDHDHP_00415      K01046   49.10   66.1   8.9e-19 triacylglycerol lipase [EC:3.1.1.3]
* JOEDHDHP_00422      K23176  104.93  568.9  2.7e-171 methylthioxylose transferase
* JOEDHDHP_00423      K00772  294.97  311.4   2.8e-93 5'-methylthioadenosine phosphorylase [EC:2.4.2.28]
* JOEDHDHP_00424      K17947  250.83  529.1  4.6e-159 dTDP-L-rhamnose 4-epimerase [EC:5.1.3.25]
* JOEDHDHP_00426      K09931   74.03  197.1   1.5e-58 uncharacterized protein
* JOEDHDHP_00429      K27495  179.93  421.3  2.1e-126 D-arabinan endo alpha-(1,5)-arabinofuranosidase [EC:3.2.1.226]
* JOEDHDHP_00436      K01996  326.73  363.3  8.3e-109 branched-chain amino acid transport system ATP-binding protein
* JOEDHDHP_00437      K01997  147.63  252.0   3.7e-75 branched-chain amino acid transport system permease protein
* JOEDHDHP_00438      K01998  249.60  272.7   1.5e-81 branched-chain amino acid transport system permease protein
* JOEDHDHP_00439      K01999  163.03  208.3   7.7e-62 branched-chain amino acid transport system substrate-binding protein
* JOEDHDHP_00444      K01207  256.73  318.3   3.5e-95 beta-N-acetylhexosaminidase [EC:3.2.1.52]
* JOEDHDHP_00447      K16648  164.50 1730.7         0 arabinofuranan 3-O-arabinosyltransferase [EC:2.4.2.-]
* JOEDHDHP_00448      K27307  146.97  546.4  1.6e-164 acetyltransferase [EC:2.3.1.-]
* JOEDHDHP_00454      K25026  278.57  290.8   6.3e-87 glucokinase [EC:2.7.1.2]
* JOEDHDHP_00455      K01596  211.00 1047.2         0 phosphoenolpyruvate carboxykinase (GTP) [EC:4.1.1.32]
* JOEDHDHP_00459      K03439   87.63  259.6   2.3e-77 tRNA (guanine-N7-)-methyltransferase [EC:2.1.1.33]
* JOEDHDHP_00460      K06860  126.70  364.8  6.2e-110 putative heme uptake system protein
* JOEDHDHP_00461      K20470  783.90 1323.7         0 trehalose monomycolate/heme transporter
* JOEDHDHP_00461      K06994  249.07  597.5  1.3e-179 putative drug exporter of the RND superfamily
* JOEDHDHP_00462      K20470  783.90 1192.1         0 trehalose monomycolate/heme transporter
* JOEDHDHP_00462      K06994  249.07  574.4  1.2e-172 putative drug exporter of the RND superfamily
* JOEDHDHP_00465      K14335  264.80  507.2  1.3e-152 alpha-1,6-mannosyltransferase [EC:2.4.1.-]
* JOEDHDHP_00470      K20469  182.27  533.2  1.7e-160 putative heme transporter
* JOEDHDHP_00471      K01768  159.57  173.1     2e-51 adenylate cyclase [EC:4.6.1.1]
* JOEDHDHP_00472      K20468  162.27  383.3  4.4e-115 putative heme transporter
* JOEDHDHP_00472      K07027   92.13   94.5   2.7e-27 glycosyltransferase 2 family protein
* JOEDHDHP_00475      K03313   81.67  568.6  2.9e-171 Na+:H+ antiporter, NhaA family
* JOEDHDHP_00478      K03892   93.83  136.8   2.7e-40 ArsR family transcriptional regulator, arsenate/arsenite/antimonite-responsive transcriptional repressor
* JOEDHDHP_00479      K03325  116.23  541.1  6.1e-163 arsenite transporter
* JOEDHDHP_00480      K03741  122.23  231.8   4.1e-69 arsenate reductase (thioredoxin) [EC:1.20.4.4]
* JOEDHDHP_00481      K18701  141.70  231.1   1.5e-69 arsenate-mycothiol transferase [EC:2.8.4.2]
* JOEDHDHP_00482      K07222  279.07  382.1  9.7e-115 putative flavoprotein involved in K+ transport
* JOEDHDHP_00485      K11750  162.90  214.7   4.9e-64 esterase FrsA [EC:3.1.-.-]
* JOEDHDHP_00488      K07090   36.87   70.8   2.8e-20 uncharacterized protein
* JOEDHDHP_00496      K13464   33.13   56.5   5.9e-16 jasmonate ZIM domain-containing protein
* JOEDHDHP_00497      K10229  336.33  413.7  9.5e-125 polyol transport system permease protein
* JOEDHDHP_00498      K10228  289.30  464.6  5.1e-140 polyol transport system permease protein
* JOEDHDHP_00498      K02025  277.30  281.1   3.6e-84 multiple sugar transport system permease protein
* JOEDHDHP_00499      K10227  455.20  632.8  9.2e-191 polyol transport system substrate-binding protein
* JOEDHDHP_00499      K02027  195.83  262.9   2.3e-78 multiple sugar transport system substrate-binding protein
* JOEDHDHP_00500      K05346  304.23  322.8   8.4e-97 deoxyribonucleoside regulator
* JOEDHDHP_00501      K00008  415.83  416.6  3.1e-125 L-iditol 2-dehydrogenase [EC:1.1.1.14]
* JOEDHDHP_00502      K00045  649.67  839.7  3.7e-253 mannitol 2-dehydrogenase [EC:1.1.1.67]
* JOEDHDHP_00503      K03499  136.23  191.0   8.2e-57 trk/ktr system potassium uptake protein
* JOEDHDHP_00504      K03498  127.87  454.0  1.7e-136 trk/ktr system potassium uptake protein
* JOEDHDHP_00506      K20023  425.27  693.1  2.1e-209 L-talarate/galactarate dehydratase [EC:4.2.1.156 4.2.1.42]
* JOEDHDHP_00508      K01706  598.87  619.7  8.9e-187 glucarate dehydratase [EC:4.2.1.40]
* JOEDHDHP_00509      K13877  617.97  824.0  1.7e-248 2,5-dioxopentanoate dehydrogenase [EC:1.2.1.26]
* JOEDHDHP_00510      K01707  269.20  431.7  4.8e-130 5-dehydro-4-deoxyglucarate dehydratase [EC:4.2.1.41]
* JOEDHDHP_00511      K01706  598.87  662.4  9.8e-200 glucarate dehydratase [EC:4.2.1.40]
* JOEDHDHP_00516      K12574  132.80  697.0  7.3e-210 ribonuclease J [EC:3.1.-.-]
* JOEDHDHP_00519      K03321  344.93  506.0    5e-152 sulfate permease, SulP family
* JOEDHDHP_00525      K02035  253.17  285.2   3.4e-85 peptide/nickel transport system substrate-binding protein
* JOEDHDHP_00526      K02033  270.00  324.7   2.6e-97 peptide/nickel transport system permease protein
* JOEDHDHP_00527      K02034  255.03  289.8   1.1e-86 peptide/nickel transport system permease protein
* JOEDHDHP_00528      K02031  428.13  471.7  1.2e-141 peptide/nickel transport system ATP-binding protein
* JOEDHDHP_00529      K02032  430.27  523.4  3.5e-157 peptide/nickel transport system ATP-binding protein
* JOEDHDHP_00530      K07090   36.87   56.6   6.1e-16 uncharacterized protein
* JOEDHDHP_00531      K22419  238.53  337.7  4.2e-101 Delta4-3-oxosteroid 5beta-reductase [EC:1.3.1.3]
* JOEDHDHP_00533      K03321  344.93  442.0  1.1e-132 sulfate permease, SulP family
* JOEDHDHP_00536      K00249  376.40  411.6  1.5e-123 acyl-CoA dehydrogenase [EC:1.3.8.7]
* JOEDHDHP_00537      K00074  350.53  408.6  7.5e-123 3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]
* JOEDHDHP_00539      K00059  264.90  304.1   3.5e-91 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]
* JOEDHDHP_00542      K01990  272.97  327.1   6.9e-98 ABC-2 type transport system ATP-binding protein
* JOEDHDHP_00542      K13464   33.13   57.2   3.6e-16 jasmonate ZIM domain-containing protein
* JOEDHDHP_00544      K03299   77.47  504.8    1e-151 gluconate:H+ symporter, GntP family
* JOEDHDHP_00547      K03921  165.63  324.8     2e-97 acyl-[acyl-carrier protein] desaturase [EC:1.14.19.2 1.14.19.11 1.14.19.26]
* JOEDHDHP_00550      K16146  419.73  501.5  1.1e-150 maltokinase [EC:2.7.1.175]
* JOEDHDHP_00551      K06911   99.10  176.7   3.2e-52 quercetin 2,3-dioxygenase [EC:1.13.11.24]
* JOEDHDHP_00552      K02116   22.03   22.1     5e-05 ATP synthase protein I
* JOEDHDHP_00554      K25149  194.27  590.8  7.1e-178 polyether ionophore transport system permease protein
* JOEDHDHP_00555      K25150  367.50  498.1  4.4e-150 polyether ionophore transport system ATP-binding protein
* JOEDHDHP_00555      K01990  272.97  287.9   5.2e-86 ABC-2 type transport system ATP-binding protein
* JOEDHDHP_00555      K13464   33.13   48.0   2.2e-13 jasmonate ZIM domain-containing protein
* JOEDHDHP_00557      K07386  658.77 1099.8         0 putative endopeptidase [EC:3.4.24.-]
* JOEDHDHP_00559      K10112  543.20  543.3  2.8e-163 multiple sugar transport system ATP-binding protein [EC:7.5.2.-]
* JOEDHDHP_00559      K13464   33.13   54.0   3.3e-15 jasmonate ZIM domain-containing protein
* JOEDHDHP_00560      K05813  323.33  385.7  8.9e-116 sn-glycerol 3-phosphate transport system substrate-binding protein
* JOEDHDHP_00560      K02027  195.83  212.4   4.5e-63 multiple sugar transport system substrate-binding protein
* JOEDHDHP_00561      K05815  320.67  375.0  6.7e-113 sn-glycerol 3-phosphate transport system permease protein
* JOEDHDHP_00561      K02026  270.63  315.7   1.3e-94 multiple sugar transport system permease protein
* JOEDHDHP_00562      K05814  341.43  438.7  4.5e-132 sn-glycerol 3-phosphate transport system permease protein
* JOEDHDHP_00562      K02025  277.30  338.9  1.1e-101 multiple sugar transport system permease protein
* JOEDHDHP_00570      K03313   81.67  503.7  1.3e-151 Na+:H+ antiporter, NhaA family
* JOEDHDHP_00571      K01971  165.70  303.1   1.2e-90 bifunctional non-homologous end joining protein LigD [EC:6.5.1.1]
* JOEDHDHP_00574      K08166  430.57  450.3  1.8e-135 MFS transporter, DHA2 family, methylenomycin A resistance protein
* JOEDHDHP_00579      K01687  592.07  892.4  8.4e-269 dihydroxy-acid dehydratase [EC:4.2.1.9]
* JOEDHDHP_00580      K08167  413.37  453.6  3.6e-136 MFS transporter, DHA2 family, multidrug resistance protein
* JOEDHDHP_00585      K00631  467.53  600.0  2.6e-180 glycerol-3-phosphate O-acyltransferase [EC:2.3.1.15]
* JOEDHDHP_00586      K15781  313.20  611.7  2.8e-184 putative phosphoserine phosphatase / 1-acylglycerol-3-phosphate O-acyltransferase [EC:3.1.3.3 2.3.1.51]
* JOEDHDHP_00586      K00655  119.10  150.3   2.2e-44 1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]
* JOEDHDHP_00590      K07222  279.07  430.5    2e-129 putative flavoprotein involved in K+ transport
* JOEDHDHP_00593      K07123  150.17  192.1   3.3e-57 uncharacterized protein
* JOEDHDHP_00600      K01971  165.70  387.2  4.3e-116 bifunctional non-homologous end joining protein LigD [EC:6.5.1.1]
* JOEDHDHP_00602      K25286  275.37  310.8   7.5e-93 iron-siderophore transport system substrate-binding protein
* JOEDHDHP_00603      K13464   33.13   40.5   4.1e-11 jasmonate ZIM domain-containing protein
* JOEDHDHP_00604      K01338  872.93  944.8  1.6e-284 ATP-dependent Lon protease [EC:3.4.21.53]
* JOEDHDHP_00606      K02493  234.17  243.7   1.4e-72 release factor glutamine methyltransferase [EC:2.1.1.297]
* JOEDHDHP_00611      K01126  168.10  230.6   1.1e-68 glycerophosphoryl diester phosphodiesterase [EC:3.1.4.46]
* JOEDHDHP_00614      K06911   99.10  252.8   2.5e-75 quercetin 2,3-dioxygenase [EC:1.13.11.24]
* JOEDHDHP_00615      K03469  101.30  163.4   2.2e-48 ribonuclease HI [EC:3.1.26.4]
* JOEDHDHP_00619      K07552  319.17  473.5  2.6e-142 MFS transporter, DHA1 family, multidrug resistance protein
* JOEDHDHP_00620      K09763   39.17  186.6   2.2e-55 uncharacterized protein
* JOEDHDHP_00622      K01151  135.00  260.7   5.9e-78 deoxyribonuclease IV [EC:3.1.21.2]
* JOEDHDHP_00623      K02003  289.63  373.5  4.3e-112 putative ABC transport system ATP-binding protein
* JOEDHDHP_00623      K13464   33.13   45.7     1e-12 jasmonate ZIM domain-containing protein
* JOEDHDHP_00624      K02004   52.83  170.7   1.2e-50 putative ABC transport system permease protein
* JOEDHDHP_00627      K07157  137.40  183.3   1.9e-54 uncharacterized protein
* JOEDHDHP_00633      K00344  275.27  330.6   4.6e-99 NADPH:quinone reductase [EC:1.6.5.5]
* JOEDHDHP_00634      K01061   92.20  201.5   8.1e-60 carboxymethylenebutenolidase [EC:3.1.1.45]
* JOEDHDHP_00635      K07045  140.83  210.3   1.6e-62 uncharacterized protein
* JOEDHDHP_00636      K07001   98.10  121.8   1.2e-35 NTE family protein
* JOEDHDHP_00637      K01054  258.37  321.9   1.4e-96 acylglycerol lipase [EC:3.1.1.23]
* JOEDHDHP_00638      K00496  194.50  603.1  1.7e-181 alkane 1-monooxygenase [EC:1.14.15.3]
* JOEDHDHP_00642      K07044   96.00  383.0  5.6e-115 uncharacterized protein
* JOEDHDHP_00648      K00467  454.63  619.2  3.4e-186 lactate 2-monooxygenase [EC:1.13.12.4]
* JOEDHDHP_00652      K07816   96.33  334.1  3.3e-100 GTP pyrophosphokinase [EC:2.7.6.5]
* JOEDHDHP_00655      K03762  457.53  524.0  1.4e-157 MFS transporter, MHS family, proline/betaine transporter
* JOEDHDHP_00667      K07793   68.90  668.1  3.4e-201 putative tricarboxylic transport membrane protein
* JOEDHDHP_00668      K07794   51.47  113.5   2.8e-33 putative tricarboxylic transport membrane protein
* JOEDHDHP_00669      K07795   85.27  326.8   5.5e-98 putative tricarboxylic transport membrane protein
* JOEDHDHP_00670      K02476  525.13  574.8  5.2e-173 two-component system, CitB family, sensor kinase [EC:2.7.13.3]
* JOEDHDHP_00681      K22479  129.00  304.4   2.4e-91 N-acetyltransferase
* JOEDHDHP_00682      K07027   92.13  118.6   1.3e-34 glycosyltransferase 2 family protein
* JOEDHDHP_00685      K09684  190.80  261.4   6.2e-78 PucR family transcriptional regulator, purine catabolism regulatory protein
* JOEDHDHP_00687      K03518  237.97  254.3   2.5e-76 aerobic carbon-monoxide dehydrogenase small subunit [EC:1.2.5.3]
* JOEDHDHP_00688      K18456  484.47  638.8  2.2e-192 8-oxoguanine deaminase [EC:3.5.4.32]
* JOEDHDHP_00690      K06901   96.07  458.8  1.1e-137 adenine/guanine/hypoxanthine permease
* JOEDHDHP_00691      K07402  114.13  412.5  1.1e-123 xanthine dehydrogenase accessory factor
* JOEDHDHP_00695      K01466  358.53  663.7  7.3e-200 allantoinase [EC:3.5.2.5]
* JOEDHDHP_00696      K01477  139.03  505.3  8.2e-152 allantoicase [EC:3.5.3.4]
* JOEDHDHP_00697      K00865   59.63  470.1  3.1e-141 glycerate 2-kinase [EC:2.7.1.165]
* JOEDHDHP_00698      K01608  686.60 1086.3         0 tartronate-semialdehyde synthase [EC:4.1.1.47]
* JOEDHDHP_00698      K01652  482.53  497.0  2.9e-149 acetolactate synthase I/II/III large subunit [EC:2.2.1.6]
* JOEDHDHP_00699      K00042  341.47  440.2  1.7e-132 2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]
* JOEDHDHP_00700      K01816  140.07  289.2   1.5e-86 hydroxypyruvate isomerase [EC:5.3.1.22]
* JOEDHDHP_00702      K16840  140.53  172.1   4.7e-51 2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase [EC:4.1.1.97]
* JOEDHDHP_00703      K07127  127.17  164.7   8.4e-49 5-hydroxyisourate hydrolase [EC:3.5.2.17]
* JOEDHDHP_00704      K00365  203.17  405.9  5.9e-122 urate oxidase [EC:1.7.3.3]
* JOEDHDHP_00705      K24206  593.23  688.7  2.1e-207 uric acid transporter
* JOEDHDHP_00706      K13641  283.00  301.0   3.3e-90 IclR family transcriptional regulator, acetate operon repressor
* JOEDHDHP_00708      K09705   31.23  177.6   1.4e-52 uncharacterized protein
* JOEDHDHP_00711      K28029  418.73  440.5  4.2e-132 amino acid or GABA permease
* JOEDHDHP_00712      K09967  177.13  288.9   1.6e-86 uncharacterized protein
* JOEDHDHP_00713      K09967  177.13  314.1   3.4e-94 uncharacterized protein
